Вакансия,Компания,Зарплата,Ссылка
Стажер-программист 1С,Компьютерные технологии 2000,"от 50 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116567069?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++ (Middle),ООО ИНИТИ,"от 280 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/108659206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист / Программист-разработчик,ООО Центр СПРУТ-Т,"180 000 – 280 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116375592?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер (робототехника),ООО Невлабс,"до 150 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116221402?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер 1С,ООО АСМ,"от 60 000 ₽ за месяц, на руки",https://hh.ru/vacancy/115702801?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior разработчик (fullstack),"АйТи Гео, ООО (IT GEO)","от 60 000 ₽ за месяц, на руки",https://hh.ru/vacancy/115580257?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист ПЛК,ООО ФНБ Инжиниринг,"от 150 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116691293?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик Python,"Красное & Белое, розничная сеть","от 200 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116694017?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист С++/Qt, junior",НТЦ Радуга,"90 000 – 140 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/114963778?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер программист/Робототехник/Инженер-электронщик/инженер-программист АСУ,ООО Агро Прогресс,"180 000 – 250 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116481042?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Java разработчик с нуля (стажер),Aston,"70 000 – 80 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/115249152?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С (junior),Жегалова София Сергеевна,Зарплата не указана,https://hh.ru/vacancy/116721921?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ООО Институт «Мосинжпроект»,"до 222 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116168113?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++,ООО АВЕКС,"150 000 – 450 000 ₽ за месяц, на руки",https://hh.ru/vacancy/115897662?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
