Вакансия,Компания,Зарплата,Ссылка
Программист,ООО Телесен,"90 000 – 125 000 ₽ за месяц, до вычета налогов",https://ekaterinburg.hh.ru/vacancy/116495094?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Младший программист (маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://ekaterinburg.hh.ru/vacancy/116491334?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (Embedded, C/C++)",InfiNet Wireless,"100 000 – 350 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116364555?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Уральский завод металлоконструкций,"от 70 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/112742594?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,РОС-электро,"250 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115629749?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,D Innovate Group,"от 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116687020?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Автопроект,"250 000 – 350 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115213586?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,D Innovate Group,"от 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116686975?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (Embedded, C/C++)",InfiNet Wireless,"100 000 – 350 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116364556?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Слон-Электроникс,"от 100 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116231623?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Международный медицинский центр УРО-ПРО,"110 000 – 130 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115505665?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (Embedded, C/C++)",InfiNet Wireless,"100 000 – 350 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116364557?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО Вюрт-Евразия,"150 000 – 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116376850?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Эрикос-ЦСП,"200 000 – 300 000 ₽ за месяц, до вычета налогов",https://ekaterinburg.hh.ru/vacancy/115143768?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Компьютерные Бизнес-Системы,"от 90 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116067095?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,РутаУпак,"от 130 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116568559?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,МУП Водоканал,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/109130307?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Сима-ленд,"100 000 – 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/108226880?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (middle),ООО 1-й Советник,"150 000 – 170 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115657949?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
